UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability,mean_meanOutageDuration_wi_BF,std_meanOutageDuration_wi_BF,median_meanOutageDuration_wi_BF,mean_outageProbability_wi_BF,std_outageProbability_wi_BF,median_outageProbability_wi_BF
6,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.151222688357242,0.198680471583316,0.07,0.0121462286825274,0.0237413441805349,0.00357990615742195,0.0304259506950628,0.0335179121497858,0.0021896480058719,0.000116667193640666,5.28386837675694e-10,0.0001166671833337,0.0304259506950628,0.0335179121497858,0.0021896480058719,0.000116667193640666,5.28386837675694e-10,0.0001166671833337
7,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.31992022491147,0.267600816965327,0.0832963726800709,0.0341000420925318,0.0436647145772435,0.0096427684087019,0.0251436683155585,0.0326532610484665,0.00183075159107205,0.000118063449699068,1.36789929039546e-05,0.000116667291667,0.0251436683155585,0.0326532610484665,0.00183075159107205,0.000118063449699068,1.36789929039546e-05,0.000116667291667
7,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.227720805525632,0.238416901064636,0.07,0.0249606490730402,0.0355631917675243,0.0057663004200877,0.0261970810278512,0.0332290361473204,0.0015555653333386,0.000116667369963793,6.31626809162687e-10,0.0001166674000004,0.0261970810278512,0.0332290361473204,0.0015555653333386,0.000116667369963793,6.31626809162687e-10,0.0001166674000004
7,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.181211302358858,0.222984376844045,0.07,0.0161862476190978,0.0298459217091497,0.0038311128741914,0.0305096353754445,0.0333492211543094,0.00286790256689325,0.000118686011084767,1.30062633286702e-05,0.00011666705833345,0.0305096353754445,0.0333492211543094,0.00286790256689325,0.000118686011084767,1.30062633286702e-05,0.00011666705833345
7,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.1170660824854,0.146125483005333,0.07,0.00917114799530094,0.0205616615365956,0.0016583336416668,0.0331753692897175,0.0342610934854394,0.00388889833333805,0.000117763643421351,9.55907391220375e-06,0.00011666695000015,0.0331753692897175,0.0342610934854394,0.00388889833333805,0.000117763643421351,9.55907391220375e-06,0.00011666695000015
8,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.326078012249213,0.262024661112794,0.294316057246597,0.0361767454780549,0.041080124571775,0.0100474426547599,0.0265295811878627,0.032791663233308,0.0016870016289259,0.000116667369792073,6.73097909558809e-10,0.0001166673416671,0.0265295811878627,0.032791663233308,0.0016870016289259,0.000116667369792073,6.73097909558809e-10,0.0001166673416671
8,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.223658942334627,0.241677138245399,0.07,0.0218234834741925,0.0343613990109367,0.0050876597486175,0.0282353474746033,0.0333949920480355,0.0022580741935538,0.000116667263736615,5.87932420876589e-10,0.0001166671666669,0.0282353474746033,0.0333949920480355,0.0022580741935538,0.000116667263736615,5.87932420876589e-10,0.0001166671666669
8,49,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,84,0.179084982979748,0.207113067382917,0.07,0.0142269048728852,0.0267904747977057,0.0038294123326302,0.0283579480322585,0.0330499875115148,0.0023790419182075,0.00011666717619077,5.1967531909447e-10,0.0001166671416669,0.0283579480322585,0.0330499875115148,0.0023790419182075,0.00011666717619077,5.1967531909447e-10,0.0001166671416669
8,64,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,76,0.140376493602733,0.182569843347975,0.07,0.0120327830482978,0.0239864079571544,0.0029250005583335,0.0299271305036287,0.0332338038559184,0.0021231714614028,0.000116667187719612,5.17181883089551e-10,0.0001166672000003,0.0299271305036287,0.0332338038559184,0.0021231714614028,0.000116667187719612,5.17181883089551e-10,0.0001166672000003
9,25,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,96,0.33443963784741,0.267485842776002,0.336331066801554,0.0404686190419667,0.0475156532175556,0.0110595485030251,0.0259809515501316,0.0328922866560249,0.00148937148936795,0.000116667448090734,7.62950495403609e-10,0.00011666743333375,0.0259809515501316,0.0328922866560249,0.00148937148936795,0.000116667448090734,7.62950495403609e-10,0.00011666743333375
9,36,250,1600,300,0.02,0,0.05,0,0,0,400000000,10,0.1,91,0.233137939988111,0.238853057005702,0.07,0.0228120893286359,0.0333188808542185,0.0038852487059742,0.0273857975690535,0.0331855176799381,0.0019444541666718,0.000116667263004008,5.85476810871384e-10,0.0001166672500003,0.0273857975690535,0.0331855176799381,0.0019444541666718,0.000116667263004008,5.85476810871384e-10,0.0001166672500003
