UEIdx,lambdaBS,lambdaUE,numBlockers,deployRange,discoveryDelay,failureDetectionDelay,connectionSetupDelay,signalingAfterRachDelay,frameHopCount,frameDeliveryDelay,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_meanOutageDuration_wo_CF,std_meanOutageDuration_wo_CF,median_meanOutageDuration_wo_CF,mean_outageProbability_wo_CF,std_outageProbability_wo_CF,median_outageProbability_wo_CF,mean_meanOutageDuration,std_meanOutageDuration,median_meanOutageDuration,mean_outageProbability,std_outageProbability,median_outageProbability,,,,
1,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.090284855,0.100727158,0.07,0.000341211,0.001540863,1.94E-05,0.066535033,0.015100788,0.07,1.94E-05,4.56E-11,1.94E-05,,,,
2,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.085127312,0.091579243,0.07,0.000347257,0.00143103,1.94E-05,0.065116027,0.017796592,0.07,1.94E-05,7.93E-11,1.94E-05,,,,
3,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.069907575,0.000919622,0.07,5.51E-05,0.000354792,1.94E-05,0.069781499,0.002174054,0.07,4.77E-05,0.000281616,1.94E-05,,,,
4,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.084262838,0.082338704,0.07,0.000285709,0.001334912,1.94E-05,0.066522169,0.015156765,0.07,1.94E-05,5.43E-11,1.94E-05,,,,
5,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.069818595,0.00172857,0.07,0.000132487,0.000571762,1.94E-05,0.06728416,0.013321614,0.07,2.45E-05,4.79E-05,1.94E-05,,,,
6,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.073392753,0.035577855,0.07,0.000143212,0.000786602,1.94E-05,0.068506355,0.009815378,0.07,4.67E-05,0.000271614,1.94E-05,,,,
7,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.086314811,0.094050867,0.07,0.000395209,0.002141882,1.94E-05,0.067907651,0.011896368,0.07,1.94E-05,3.55E-11,1.94E-05,,,,
8,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.078662428,0.061103914,0.07,0.000201186,0.000984407,1.94E-05,0.067213649,0.013648595,0.07,1.94E-05,5.79E-11,1.94E-05,,,,
9,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.078418053,0.060421624,0.07,0.000133267,0.000751427,1.94E-05,0.067933919,0.0117487,0.07,1.94E-05,3.64E-11,1.94E-05,,,,
10,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.091728433,0.10721011,0.07,0.000523136,0.002396817,1.94E-05,0.066621596,0.014752844,0.07,2.40E-05,4.55E-05,1.94E-05,,,,
11,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.080801306,0.076983516,0.07,0.000343801,0.001683037,1.94E-05,0.065817995,0.016549065,0.07,2.00E-05,5.58E-06,1.94E-05,,,,
12,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.075011266,0.051201271,0.07,0.000178071,0.001119815,1.94E-05,0.06797317,0.011527399,0.07,2.25E-05,2.20E-05,1.94E-05,,,,
13,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.073605422,0.037026625,0.07,0.00013892,0.000765973,1.94E-05,0.068534459,0.009767764,0.07,4.39E-05,0.000241866,1.94E-05,,,,
14,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.084323209,0.081732204,0.07,0.000374539,0.00185782,1.94E-05,0.066532715,0.015111992,0.07,1.99E-05,4.24E-06,1.94E-05,,,,
15,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.088677938,0.093220222,0.07,0.000332822,0.001238399,1.94E-05,0.065577192,0.016288883,0.07,3.81E-05,0.000133611,1.94E-05,,,,
16,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.082177399,0.086728078,0.07,0.000207508,0.000860475,1.94E-05,0.066554467,0.01501781,0.07,2.03E-05,7.10E-06,1.94E-05,,,,
17,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.089278838,0.096024332,0.07,0.000504542,0.002400968,1.94E-05,0.066511802,0.01520155,0.07,1.94E-05,5.13E-11,1.94E-05,,,,
18,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.074264363,0.0435004,0.07,0.000215648,0.001748905,1.94E-05,0.068597,0.009820489,0.07,1.94E-05,4.95E-11,1.94E-05,,,,
19,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.075186554,0.051014528,0.07,0.000234897,0.001470994,1.94E-05,0.067200944,0.013710359,0.07,1.96E-05,1.40E-06,1.94E-05,,,,
20,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.075025181,0.053783835,0.07,0.000219228,0.001604767,1.94E-05,0.067903418,0.011920526,0.07,1.97E-05,2.79E-06,1.94E-05,,,,
21,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.090969631,0.104377184,0.07,0.000423589,0.001632925,1.94E-05,0.065648496,0.016544713,0.07,5.38E-05,0.000341768,1.94E-05,,,,
22,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.07912826,0.066553928,0.07,0.000237725,0.001104609,1.94E-05,0.066564031,0.014979077,0.07,2.20E-05,2.43E-05,1.94E-05,,,,
23,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.089609317,0.096136547,0.07,0.000275704,0.001399144,1.94E-05,0.067312924,0.013183693,0.07,1.94E-05,2.50E-11,1.94E-05,,,,
24,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.085260548,0.088486993,0.07,0.000500068,0.002468477,1.94E-05,0.066946158,0.013756571,0.07,6.79E-05,0.000351741,1.94E-05,,,,
25,64,250,320,564.189584,0.02,0,0.05,0,0,0,400000000,10,0.1,99,0.079733762,0.067739836,0.07,0.000249175,0.001420088,1.94E-05,0.067905917,0.011906323,0.07,1.94E-05,4.54E-11,1.94E-05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3699E-05,2.74E-05,2.52E-05,9.188668648
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
