UEIdx,lambdaBS,lambdaUE,deployRange,minRatereq,powerFac,lower_bound_thresh,GroupCount,mean_mean_rate_before_handoff_affected,mean_mean_rate_after_handoff_affected,mean_mean_rate_after_handoff_affected_wo_algo,mean_mean_rate_before_handoff_not_affected,mean_mean_rate_after_handoff_not_affected,mean_mean_rate_after_handoff_not_affected_wo_algo,mean_rate_after_handoff_fr2,mean_rate_after_handoff_fr2_wo_algo
17,25,1000,300,400000000,10,0.1,70,97896839.4282789,36165850.4485969,97068456.8378747,98032457.4254445,98035568.6124464,97276523.7186424,585077714.055768,574113882.137353
18,25,500,300,400000000,10,0.1,30,99246028.7254238,35402166.3799206,99022556.5317776,99296596.1030064,99006802.6590268,99085713.4148441,647198641.496372,744801721.32685
18,25,750,300,400000000,10,0.1,50,98723418.1822132,35691336.1747985,98292258.43367,98725722.9486612,98492161.7521349,98318611.4646563,582352766.215986,618469103.577265
18,25,1000,300,400000000,10,0.1,70,97896839.4282789,36165850.4485969,97068456.8378747,98032457.4254445,98035568.6124464,97276523.7186424,615926652.299072,634777026.109147
19,25,500,300,400000000,10,0.1,20,99226300.5128311,35421507.7453841,98982415.8551695,99299835.8827971,98932615.0229811,99071994.4699561,648583537.979444,733257045.82615
19,25,750,300,400000000,10,0.1,50,98723418.1822132,35691336.1747985,98292258.43367,98725722.9486612,98492161.7521349,98318611.4646563,587349678.301703,626228329.964512
19,25,1000,300,400000000,10,0.1,60,97891362.2852392,36168276.5635663,96993471.9425274,98001227.3418793,97916930.9672052,97179859.7153302,614841389.065914,633144975.204537
20,25,500,300,400000000,10,0.1,20,99226300.5128311,35421507.7453841,98982415.8551695,99299835.8827971,98932615.0229811,99071994.4699561,669399021.108038,772597501.472047
20,25,750,300,400000000,10,0.1,50,98723418.1822132,35691336.1747985,98292258.43367,98725722.9486612,98492161.7521349,98318611.4646563,613934508.445406,663055394.281802
20,25,1000,300,400000000,10,0.1,60,97891362.2852392,36168276.5635663,96993471.9425274,98001227.3418793,97916930.9672052,97179859.7153302,570055723.627494,555513098.959771
21,25,500,300,400000000,10,0.1,20,99226300.5128311,35421507.7453841,98982415.8551695,99299835.8827971,98932615.0229811,99071994.4699561,686164974.101603,801411572.238391
21,25,750,300,400000000,10,0.1,50,98723418.1822132,35691336.1747985,98292258.43367,98725722.9486612,98492161.7521349,98318611.4646563,607094499.792801,646362468.519282
21,25,1000,300,400000000,10,0.1,60,97891362.2852392,36168276.5635663,96993471.9425274,98001227.3418793,97916930.9672052,97179859.7153302,588191196.66224,598892825.276389
22,25,500,300,400000000,10,0.1,10,99225838.7656353,35426662.7171393,98972472.4565871,99227662.8554813,98710207.6618019,98961944.6297304,645037787.984311,775253659.890704
22,25,750,300,400000000,10,0.1,40,98740344.7409829,35690758.7979337,98286562.6282112,98747171.0895072,98437158.036491,98318614.0838413,615748064.734939,660780510.471505
22,25,1000,300,400000000,10,0.1,60,97891362.2852392,36168276.5635663,96993471.9425274,98001227.3418793,97916930.9672052,97179859.7153302,562749636.929608,547158877.577477
